Facility Name,Address,Type of Facility,Direction,Postal Code,latitude,longitude
Bishan Stadium,7 Bishan Street 14 Singapore 579784,Stadium,Northeast,579784,1.35460206713741,103.850992018417
Bishan Swimming Complex,1 Bishan Street 14 Singapore 579778,Swimming Pool,Northeast,579778,1.3543257600466,103.850274859117
Blangah Rise Primary School Field,91 Telok Blangah Heights Singapore 109100,Free To Play Field,Central,109100,1.32181250780475,103.865404167629
Boon Lay Garden Primary School Hall,20 Boon Lay Drive Singapore 649930,School Sport Hall,West,649930,1.34284013791617,103.712858381937
Boon Lay Secondary School Field,11 Jurong West Street 65 Singapore 648354,School Field,West,648354,1.34325806854178,103.713811221334
Boon Lay Secondary School Hall,11 Jurong West Street 65 Singapore 648354,School Sport Hall,West,648354,1.34317853793318,103.713280889452
Bowen Secondary School Field,2 Lorong Napiri Singapore 547529,School Field,Northeast,547529,1.37035994436209,103.877659577677
Bowen Secondary School Hall,2 Lorong Napiri Singapore 547529,School Sport Hall,Northeast,547529,1.37035994436209,103.877659577677
Broadrick Secondary School Field,61 Dakota Crescent Singapore 399935,School Field,East,399935,1.30705061123433,103.886917922608
Broadrick Secondary School Hall,61 Dakota Crescent Singapore 399935,School Sport Hall,East,399935,1.30705061123433,103.886917922608
Bt Panjang Primary School Hall,109 Cashew Road Singapore 679676,School Sport Hall,West,679676,1.3377498622588,103.766855344779
Bukit Batok ActiveSG Gym,2 Bukit Batok Street 22 Singapore 659581,Gym,West,659581,1.37345849790283,103.752898593565
Bukit Batok Swimming Complex,2 Bukit Batok Street 22 Singapore 659581,Swimming Pool,West,659581,1.34429570711298,103.748152915149
Bukit Canberra ActiveSG Gym,21 Canberra Link Singapore 756973,Gym,North,756973,1.34971948024642,103.750968656542
Bukit Canberra Sport Centre,21 Canberra Link Singapore 756973,Sport Centre,North,756973,1.34971948024642,103.750968656542
Bukit Canberra Sport Hall,21 Canberra Link Singapore 756973,Sport Hall,North,756973,1.34971948024642,103.750968656542
